cell_id,pair,tf,direction,percentile,horizon_bars,vol_quintile,n_trades,win_rate,ev_pip,ev_pct,profit_factor,wilson_lower_95,sharpe_annual,kelly_fraction,max_dd_pct,mae_mean_pct,mae_p5_pct,mfe_mean_pct,year_flip_count,p_value,bonferroni_pass,bh_fdr_pass,verdict,period_start,period_end,bt_data_source,generated_at
USD_JPY_H1_SHORT_SHOCK_1_6_ALL,USD_JPY,H1,SHORT_SHOCK,0.01,6,ALL,83,0.3855421686746988,-11.671084337349651,-0.07701546189262076,0.4724430889881185,0.2881115719314857,-21.10544897086215,-0.43059941009045477,-7.756060235953232,-0.24740785675541846,-0.6794436779503232,0.17839565180920702,1,0.9922567381992021,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_SHORT_SHOCK_1_6_Q1,USD_JPY,H1,SHORT_SHOCK,0.01,6,Q1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_SHORT_SHOCK_1_6_Q2,USD_JPY,H1,SHORT_SHOCK,0.01,6,Q2,9,0.3333333333333333,-17.466666666667013,-0.11657045199551612,0.40790960451976255,0.1205838183869109,-23.102679036809022,-0.4666771711863296,-1.6039142493971759,-0.2937788886382606,-0.7491200845838142,0.14118169627091634,0,0.800585490666317,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_SHORT_SHOCK_1_6_Q3,USD_JPY,H1,SHORT_SHOCK,0.01,6,Q3,9,0.4444444444444444,2.1000000000002377,0.01579167377860778,1.1766355140187175,0.18877852109766458,5.910730096973099,0.07574728662729396,-0.4576038560191953,-0.17234862092515568,-0.2824400482961176,0.2280901366676,1,0.4126786004669156,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_SHORT_SHOCK_1_6_Q4,USD_JPY,H1,SHORT_SHOCK,0.01,6,Q4,20,0.4,-14.52500000000029,-0.09481769774636384,0.3830961987683115,0.2188065323728171,-29.105096583315763,-0.6427698477318083,-2.1072335876478054,-0.22107303665980682,-0.47350517514988866,0.18166207159119208,0,0.9447135038507231,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_SHORT_SHOCK_1_6_Q5,USD_JPY,H1,SHORT_SHOCK,0.01,6,Q5,45,0.37777777777777777,-11.997777777778095,-0.07975378618240159,0.4561845286059515,0.25108084672137915,-21.363429812465647,-0.45804340519842857,-4.335296109934306,-0.26484986203184113,-0.6758522044437831,0.17444780381985986,1,0.9639468915400914,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_SHORT_SHOCK_1_12_ALL,USD_JPY,H1,SHORT_SHOCK,0.01,12,ALL,83,0.42168674698795183,-11.154216867470199,-0.07345402635997135,0.5980375130253488,0.3212301490182536,-15.371877800825567,-0.28298522067510945,-7.923362029221414,-0.3198451102425231,-0.9423513823029173,0.27141066212630166,1,0.9622926991612692,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_SHORT_SHOCK_1_12_Q1,USD_JPY,H1,SHORT_SHOCK,0.01,12,Q1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_SHORT_SHOCK_1_12_Q2,USD_JPY,H1,SHORT_SHOCK,0.01,12,Q2,9,0.2222222222222222,-46.844444444444854,-0.3144732976784069,0.1924918597969717,0.06322510711784671,-46.97198355136062,-0.9147599426956105,-3.1351525837326477,-0.46811981545088105,-1.0847809206110504,0.2007513856514246,0,0.9462181414887683,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_SHORT_SHOCK_1_12_Q3,USD_JPY,H1,SHORT_SHOCK,0.01,12,Q3,9,0.5555555555555556,-3.533333333332836,-0.0253079454685433,0.845029239766101,0.26665129349549305,-5.966272862258447,-0.11158518264749961,-0.602643461351926,-0.2612381036550815,-0.5065258098848213,0.3006302905882811,1,0.5881259209634591,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_SHORT_SHOCK_1_12_Q4,USD_JPY,H1,SHORT_SHOCK,0.01,12,Q4,20,0.45,-7.930000000000206,-0.051948715486773156,0.6398728428701154,0.2581978582556243,-14.351781391216756,-0.2570128752479058,-1.7269917255023803,-0.27296298371492506,-0.5429668618392031,0.25793311568459876,1,0.7902799671621555,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_SHORT_SHOCK_1_12_Q5,USD_JPY,H1,SHORT_SHOCK,0.01,12,Q5,45,0.4222222222222222,-6.9733333333338505,-0.04443730421821347,0.7236459709378962,0.289687024672703,-9.214866283630432,-0.15508416326021884,-4.0142872886150265,-0.3227480711972724,-0.9416827079847656,0.285688612369638,1,0.7845184728508133,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_LONG_SHOCK_2p5_1_ALL,USD_JPY,H1,LONG_SHOCK,0.025,1,ALL,167,0.4550898203592814,-1.762874251496914,-0.01179943836716309,0.8106752411575653,0.38142001429262007,-6.089180498096772,-0.10927796007024365,-3.555204355349062,-0.12851272951291579,-0.3176603422552804,0.10059896889752327,0,0.8434560727296517,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_LONG_SHOCK_2p5_1_Q1,USD_JPY,H1,LONG_SHOCK,0.025,1,Q1,3,0.6666666666666666,10.733333333333425,0.06667057616075074,4.156862745097946,0.20765960080204768,40.902355591370466,0.5005991576699671,0.0,-0.0649921872642049,-0.1427878152880735,0.1183410191734217,1,0.22923632659289758,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_LONG_SHOCK_2p5_1_Q2,USD_JPY,H1,LONG_SHOCK,0.025,1,Q2,16,0.5625,0.5937500000003482,0.003101507907557477,1.0697503671072364,0.331785563988119,1.7171736099343369,0.02897530920444391,-0.607743700822394,-0.10252870835800523,-0.27615266590322596,0.08824695878160427,1,0.46539462089576483,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_LONG_SHOCK_2p5_1_Q3,USD_JPY,H1,LONG_SHOCK,0.025,1,Q3,31,0.3870967741935484,-2.6258064516126973,-0.018729513228321615,0.6646065100947885,0.23733101420380248,-13.994884972457536,-0.21783873198624826,-1.040997322908277,-0.13584439854293023,-0.27171274154796365,0.07549758025839473,1,0.8378083619793979,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
USD_JPY_H1_LONG_SHOCK_2p5_1_Q4,USD_JPY,H1,LONG_SHOCK,0.025,1,Q4,36,0.3888888888888889,-3.4305555555556726,-0.022964688614610405,0.5906529665230255,0.24784873065371002,-15.865559942538562,-0.27544277153296554,-1.1854371372292838,-0.11615383443148843,-0.2330999268088274,0.08309536324058792,0,0.8854461089733205,0,0,REJECT,2025-05-02T00:00:00+00:00,2026-05-05T22:00:00+00:00,MASSIVE_parquet,2026-05-15T08:24:34.034053+00:00
