pair,mult,t,side,entry,target,d_pips,lag_bars,adverse_pips,result,gross_pips,net_pips,iso_week
EUR_USD,3.0,2021-04-28 14:00:00+00:00,BUY,1.20884,1.2095,6.6000000000010495,7,34.000000000000696,win,6.6000000000010495,4.6000000000010495,2021-W17
EUR_USD,3.0,2021-04-29 13:00:00+00:00,SELL,1.21061,1.2055,51.099999999999476,12,43.499999999998536,win,51.099999999999476,49.099999999999476,2021-W17
EUR_USD,3.0,2021-05-03 08:00:00+00:00,BUY,1.20476,1.20694,21.799999999998487,15,35.60000000000007,win,21.799999999998487,19.799999999998487,2021-W18
EUR_USD,3.0,2021-05-04 02:00:00+00:00,SELL,1.20446,1.20117,32.90000000000015,12,31.70000000000117,win,32.90000000000015,30.900000000000148,2021-W18
EUR_USD,3.0,2021-05-06 06:00:00+00:00,BUY,1.2014,1.20694,55.39999999999878,23,28.799999999999937,win,55.39999999999878,53.39999999999878,2021-W18
EUR_USD,3.0,2021-05-10 07:00:00+00:00,SELL,1.21478,1.2055,92.79999999999954,8,28.999999999999027,win,92.79999999999954,90.79999999999954,2021-W19
EUR_USD,3.0,2021-05-11 09:00:00+00:00,BUY,1.21652,1.2177,11.799999999999589,2,44.6000000000013,loss,-11.799999999999589,-13.799999999999589,2021-W19
EUR_USD,3.0,2021-05-11 23:00:00+00:00,SELL,1.2144,1.2121,22.999999999999687,10,37.59999999999985,win,22.999999999999687,20.999999999999687,2021-W19
EUR_USD,3.0,2021-05-12 13:00:00+00:00,BUY,1.21003,1.21498,49.5000000000001,1,29.000000000001247,win,49.5000000000001,47.5000000000001,2021-W19
EUR_USD,3.0,2021-05-12 14:00:00+00:00,SELL,1.2076,1.20719,4.100000000000215,1,75.60000000000011,loss_tie,-4.100000000000215,-6.100000000000215,2021-W19
EUR_USD,3.0,2021-05-14 05:00:00+00:00,BUY,1.2097,1.21498,52.799999999999514,21,45.399999999999885,win,52.799999999999514,50.799999999999514,2021-W19
EUR_USD,3.0,2021-05-19 08:00:00+00:00,SELL,1.22161,1.2121,95.10000000000129,2,28.399999999999537,win,95.10000000000129,93.10000000000129,2021-W20
EUR_USD,3.0,2021-05-19 13:00:00+00:00,BUY,1.22287,1.2245,16.300000000000203,2,39.89999999999938,loss,-16.300000000000203,-18.300000000000203,2021-W20
EUR_USD,3.0,2021-05-19 18:00:00+00:00,SELL,1.21709,1.2121,49.900000000000496,5,67.50000000000034,loss,-49.900000000000496,-51.900000000000496,2021-W20
EUR_USD,3.0,2021-05-20 07:00:00+00:00,BUY,1.22021,1.22388,36.70000000000062,12,44.69999999999974,win,36.70000000000062,34.70000000000062,2021-W20
EUR_USD,3.0,2021-05-21 11:00:00+00:00,SELL,1.21855,1.2158,27.500000000000302,5,53.600000000000314,loss,-27.500000000000302,-29.500000000000302,2021-W20
EUR_USD,3.0,2021-05-24 12:00:00+00:00,BUY,1.22099,1.22388,28.900000000000592,6,50.3000000000009,win,28.900000000000592,26.900000000000592,2021-W21
EUR_USD,3.0,2021-05-26 11:00:00+00:00,SELL,1.22253,1.21889,36.399999999998656,23,39.799999999998725,win,36.399999999998656,34.399999999998656,2021-W21
EUR_USD,3.0,2021-05-28 14:00:00+00:00,BUY,1.21798,1.22388,59.00000000000016,1,48.799999999999955,win,59.00000000000016,57.00000000000016,2021-W21
EUR_USD,3.0,2021-06-01 20:00:00+00:00,SELL,1.22109,1.21889,21.999999999999797,6,42.800000000000615,win,21.999999999999797,19.999999999999797,2021-W22
EUR_USD,3.0,2021-06-02 13:00:00+00:00,BUY,1.22044,1.22388,34.40000000000109,2,41.400000000000325,loss,-34.40000000000109,-36.40000000000109,2021-W22
EUR_USD,3.0,2021-06-03 06:00:00+00:00,SELL,1.21861,1.2163,23.100000000000342,15,32.2,win,23.100000000000342,21.100000000000342,2021-W22
EUR_USD,3.0,2021-06-04 12:00:00+00:00,BUY,1.21675,1.22183,50.799999999999734,2,65.90000000000096,loss,-50.799999999999734,-52.799999999999734,2021-W22
EUR_USD,3.0,2021-06-07 06:00:00+00:00,SELL,1.2152,1.2131,20.999999999999908,19,33.30000000000055,loss,-20.999999999999908,-22.999999999999908,2021-W23
EUR_USD,3.0,2021-06-07 14:00:00+00:00,BUY,1.21878,1.22183,30.49999999999997,7,44.50000000000065,loss,-30.49999999999997,-32.49999999999997,2021-W23
EUR_USD,3.0,2021-06-08 07:00:00+00:00,SELL,1.21717,1.2163,8.700000000001484,15,29.200000000000337,loss,-8.700000000001484,-10.700000000001484,2021-W23
