snapshot_ts_utc,symbol,long_pct,short_pct,total_positions,long_positions,short_positions,long_volume_lots,short_volume_lots
2011-05-18T14:24:50Z,EURCHF,62.0,37.0,537,414,123,63.37,37.94
2011-05-18T14:24:50Z,EURGBP,10.0,89.0,397,143,254,16.07,142.01
2011-05-18T14:24:50Z,EURJPY,43.0,56.0,468,251,217,88.72,115.55
2011-05-18T14:24:50Z,EURUSD,45.0,54.0,2634,1244,1390,785.13,925.81
2011-05-18T14:24:50Z,GBPJPY,53.0,46.0,302,177,125,75.87,65.52
2011-05-18T14:24:50Z,GBPUSD,68.0,31.0,2170,1526,644,593.91,274.65
2011-05-18T14:24:50Z,USDCAD,40.0,59.0,386,142,244,31.33,45.76
2011-05-18T14:24:50Z,USDCHF,57.0,42.0,698,363,335,137.03,102.5
2011-05-18T14:24:50Z,USDJPY,43.0,56.0,870,541,329,108.26,141.42
2011-05-29T06:12:15Z,AUDUSD,42.0,57.0,704,328,376,98.99,136.63
2011-05-29T06:12:15Z,EURCHF,95.0,4.0,583,502,81,232.15,10.16
2011-05-29T06:12:15Z,EURGBP,86.0,13.0,369,248,121,67.04,10.6
2011-05-29T06:12:15Z,EURJPY,47.0,52.0,468,276,192,87.31,97.62
2011-05-29T06:12:15Z,EURUSD,49.0,50.0,2264,1069,1195,1987.44,2039.49
2011-05-29T06:12:15Z,GBPJPY,39.0,60.0,421,238,183,57.43,86.72
2011-05-29T06:12:15Z,GBPUSD,9.0,90.0,2770,597,2173,340.86,3274.66
2011-05-29T06:12:15Z,USDCAD,58.0,41.0,539,201,338,226.23,159.02
2011-05-29T06:12:15Z,USDCHF,85.0,14.0,871,706,165,472.11,78.71
2011-05-29T06:12:15Z,USDJPY,60.0,39.0,866,643,223,243.42,155.7
2011-06-10T19:19:00Z,AUDUSD,65.0,34.0,850,504,346,174.79,93.55
2011-06-10T19:19:00Z,EURCHF,79.0,20.0,631,514,117,136.06,34.2
2011-06-10T19:19:00Z,EURGBP,24.0,75.0,457,163,294,29.23,92.53
2011-06-10T19:19:00Z,EURJPY,48.0,51.0,582,363,219,80.29,84.01
2011-06-10T19:19:00Z,EURUSD,54.0,45.0,2910,1311,1599,2428.91,2057.67
2011-06-10T19:19:00Z,GBPJPY,73.0,26.0,325,219,106,164.27,58.47
2011-06-10T19:19:00Z,GBPUSD,71.0,28.0,2404,1612,792,1557.15,617.19
2011-06-10T19:19:00Z,USDCAD,38.0,61.0,546,191,355,63.92,101.35
2011-06-10T19:19:00Z,USDCHF,81.0,18.0,1010,726,284,560.72,129.24
2011-06-10T19:19:00Z,USDJPY,61.0,38.0,988,689,299,257.35,160.15
2011-06-25T10:06:03Z,AUDUSD,47.0,52.0,812,454,358,133.96,146.29
2011-06-25T10:06:03Z,EURCHF,95.0,4.0,702,579,123,387.16,18.27
2011-06-25T10:06:03Z,EURGBP,21.0,78.0,484,141,343,30.97,110.61
2011-06-25T10:06:03Z,EURJPY,66.0,33.0,741,468,273,136.49,67.85
2011-06-25T10:06:03Z,EURUSD,52.0,47.0,3553,1721,1832,2448.21,2257.02
2011-06-25T10:06:03Z,GBPJPY,86.0,13.0,655,544,111,324.66,50.47
2011-06-25T10:06:03Z,GBPUSD,82.0,17.0,3157,2527,630,2217.86,481.14
2011-06-25T10:06:03Z,USDCAD,22.0,77.0,954,160,794,68.06,229.96
2011-06-25T10:06:03Z,USDCHF,77.0,22.0,849,628,221,319.9,92.12
2011-06-25T10:06:03Z,USDJPY,59.0,40.0,1016,634,382,228.75,156.88
2011-07-07T03:30:58Z,AUDUSD,35.0,64.0,1033,430,603,138.29,250.25
2011-07-07T03:30:58Z,EURCHF,66.0,33.0,795,568,227,179.36,91.54
2011-07-07T03:30:58Z,EURGBP,46.0,53.0,606,249,357,71.48,82.78
2011-07-07T03:30:58Z,EURJPY,48.0,51.0,804,356,448,87.75,92.77
2011-07-07T03:30:58Z,EURUSD,61.0,38.0,4106,1806,2300,1197.21,746.27
2011-07-07T03:30:58Z,GBPJPY,55.0,44.0,685,440,245,100.42,80.4
2011-07-07T03:30:58Z,GBPUSD,57.0,42.0,2672,1709,963,1010.1,759.51
2011-07-07T03:30:58Z,USDCAD,79.0,20.0,1281,954,327,435.13,111.96
2011-07-07T03:30:58Z,USDCHF,63.0,36.0,963,582,381,259.63,147.55
2011-07-07T03:30:58Z,USDJPY,66.0,33.0,1202,762,440,279.96,143.81
2011-07-21T03:28:20Z,AUDUSD,61.0,38.0,804,445,359,109.91,69.8
2011-07-21T03:28:20Z,EURCHF,51.0,48.0,836,569,267,178.94,171.23
2011-07-21T03:28:20Z,EURGBP,22.0,77.0,717,332,385,97.71,341.96
2011-07-21T03:28:20Z,EURJPY,66.0,33.0,916,669,247,220.3,112.78
2011-07-21T03:28:20Z,EURUSD,56.0,43.0,4287,2163,2124,1189.94,918.26
