cell_id,pair,tf,intrabar_tf,hypothesis,vol_mult,body_pct,horizon_bars,cohort,n_trades,win_rate,ev_pip,ev_pct,profit_factor,wilson_lower_95,sharpe_annual,kelly_fraction,max_dd_pct,mae_mean_pct,mae_p5_pct,mfe_mean_pct,year_flip_count,p_value,bonferroni_pass,bh_fdr_pass,g7_delta_incremental,verdict,period_start,period_end,bt_data_source,generated_at
GBP_JPY_H-A_2.5_0.40_6,GBP_JPY,H1,M5,H-A,2.5,0.4,6,primary_12y,2052,0.5043859649122807,0.8674223369234507,0.006558071287793287,1.0403846736159563,0.48276518981419336,0.9149892778981785,0.023235492238720012,-17.057431515188703,-0.2751535612414513,-0.7807160697145477,0.2903933168291571,6,0.7074588846374373,0,0,,REJECT,2014-01-02T04:00:00+00:00,2026-04-30T23:00:00+00:00,MASSIVE_parquet,2026-05-20T04:17:34.819065+00:00
GBP_JPY_H-A_2.5_0.40_12,GBP_JPY,H1,M5,H-A,2.5,0.4,12,primary_12y,2052,0.48391812865497075,-1.0231761480918786,-0.004754946046774862,0.9642387824302039,0.4623459304882386,-0.5728005437538154,-0.014510550247622878,-29.56812464604508,-0.3585934430732254,-0.9852597219583786,0.3711073427475373,4,0.1512951474782558,0,0,,REJECT,2014-01-02T04:00:00+00:00,2026-04-30T23:00:00+00:00,MASSIVE_parquet,2026-05-20T04:17:34.819065+00:00
GBP_JPY_H-B_2.5_0.40_1,GBP_JPY,H1,M5,H-B,2.5,0.4,1,primary_12y,2052,0.5024366471734892,-1.2969638937700252,-0.007493251627299478,0.9066050828604006,0.480818940655847,-1.4357299135287949,-0.047311487135880625,-20.69444578058449,-0.17620972146047403,-0.49733032664079413,0.16475716769077478,4,0.8425192515851639,0,0,,REJECT,2014-01-02T04:00:00+00:00,2026-04-30T23:00:00+00:00,MASSIVE_parquet,2026-05-20T04:17:34.819065+00:00
GBP_JPY_H-B_2.5_0.40_3,GBP_JPY,H1,M5,H-B,2.5,0.4,3,primary_12y,2052,0.49122807017543857,-0.7534529942082892,-0.002657343816278875,0.9583884158312818,0.4696343715659235,-0.4059025862900617,-0.012697760124399937,-22.779667456127275,-0.227464436321113,-0.6250262679811602,0.22216944894387036,5,0.4397406700783222,0,0,,REJECT,2014-01-02T04:00:00+00:00,2026-04-30T23:00:00+00:00,MASSIVE_parquet,2026-05-20T04:17:34.819065+00:00
GBP_JPY_H-B_2.5_0.40_6,GBP_JPY,H1,M5,H-B,2.5,0.4,6,primary_12y,2052,0.4956140350877193,-0.8674223369234507,-0.0035202334759725884,0.9611829406563676,0.4740096508484964,-0.500654438700348,-0.012731654354854793,-21.20653298000201,-0.28755327318518525,-0.7599236360536954,0.27729506651851626,7,0.7074588846374373,0,0,,REJECT,2014-01-02T04:00:00+00:00,2026-04-30T23:00:00+00:00,MASSIVE_parquet,2026-05-20T04:17:34.819065+00:00
GBP_JPY_H-B_2.5_0.40_12,GBP_JPY,H1,M5,H-B,2.5,0.4,12,primary_12y,2052,0.5146198830409356,1.0231761480918786,0.008861825556634619,1.0370875121613197,0.4929883793179526,1.0803933403508375,0.023536184842990637,-25.137931542736418,-0.3672416518429682,-1.0007715203160261,0.3620404861178799,4,0.19274769332641098,0,0,,REJECT,2014-01-02T04:00:00+00:00,2026-04-30T23:00:00+00:00,MASSIVE_parquet,2026-05-20T04:17:34.819065+00:00
GBP_JPY_H-C_2.5_0.40_1,GBP_JPY,H1,M5,H-C,2.5,0.4,1,primary_12y,1014,0.5078895463510849,-0.16189099918231767,-0.0013572121125616926,0.9876151825194844,0.47714663449477096,-0.39261763389939225,-0.008349520241552777,-9.873267188755932,-0.17043846761187184,-0.4821849491468122,0.17152258293738987,7,0.6376224954596709,0,0,1,REJECT,2014-01-02T04:00:00+00:00,2026-04-30T23:00:00+00:00,MASSIVE_parquet,2026-05-20T04:17:34.819065+00:00
GBP_JPY_H-C_2.5_0.40_3,GBP_JPY,H1,M5,H-C,2.5,0.4,3,primary_12y,1014,0.5216962524654832,1.1235092083387843,0.00550558919039765,1.068206066019335,0.49092624564394194,1.372123175018812,0.025832670039888317,-13.302147842725986,-0.2196344768826497,-0.6173173678567716,0.2245135590686881,4,0.17687134719589104,0,0,1,REJECT,2014-01-02T04:00:00+00:00,2026-04-30T23:00:00+00:00,MASSIVE_parquet,2026-05-20T04:17:34.819065+00:00
GBP_JPY_H-C_2.5_0.40_6,GBP_JPY,H1,M5,H-C,2.5,0.4,6,primary_12y,1014,0.5078895463510849,1.6436255791474441,0.008740708132692504,1.083263262823926,0.47714663449477096,1.8517532717714373,0.032929331079901036,-15.504917349738264,-0.2669455214956095,-0.7297292815411837,0.28462848852322636,6,0.6376224954596709,0,0,1,REJECT,2014-01-02T04:00:00+00:00,2026-04-30T23:00:00+00:00,MASSIVE_parquet,2026-05-20T04:17:34.819065+00:00
GBP_JPY_H-C_2.5_0.40_12,GBP_JPY,H1,M5,H-C,2.5,0.4,12,primary_12y,1014,0.490138067061144,-0.7302353675980393,-0.005429620923980839,0.9729392097128287,0.45946429466425737,-0.8649141175822941,-0.017038735604208377,-16.871022140609078,-0.34559082658370377,-0.9095787421360224,0.3628240864177153,5,0.5507484743797858,0,0,1,REJECT,2014-01-02T04:00:00+00:00,2026-04-30T23:00:00+00:00,MASSIVE_parquet,2026-05-20T04:17:34.819065+00:00
