date,currency_pair,direction,amount_yen_billions,source_url
1993-08-12,USD/JPY,sell_JPY_buy_USD,37.2,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-08-13,USD/JPY,sell_JPY_buy_USD,64.5,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-08-13,DEM/JPY,sell_JPY_buy_DEM,4.8,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-08-16,USD/JPY,sell_JPY_buy_USD,87.0,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-08-17,USD/JPY,sell_JPY_buy_USD,200.2,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-08-19,USD/JPY,sell_JPY_buy_USD,17.0,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-08-20,USD/JPY,sell_JPY_buy_USD,52.4,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-08-23,USD/JPY,sell_JPY_buy_USD,23.8,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-08-24,USD/JPY,sell_JPY_buy_USD,71.4,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-08-25,USD/JPY,sell_JPY_buy_USD,37.6,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-08-26,USD/JPY,sell_JPY_buy_USD,15.8,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-08-27,USD/JPY,sell_JPY_buy_USD,23.4,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-09-07,USD/JPY,sell_JPY_buy_USD,21.8,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-02-15,USD/JPY,sell_JPY_buy_USD,43.1,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-02-16,USD/JPY,sell_JPY_buy_USD,34.1,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-02-18,USD/JPY,sell_JPY_buy_USD,18.7,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-02-21,USD/JPY,sell_JPY_buy_USD,40.9,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-02-23,USD/JPY,sell_JPY_buy_USD,50.4,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-02-28,USD/JPY,sell_JPY_buy_USD,57.3,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-03-02,USD/JPY,sell_JPY_buy_USD,72.5,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-03-03,USD/JPY,sell_JPY_buy_USD,49.9,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-03-04,USD/JPY,sell_JPY_buy_USD,31.4,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-03-29,USD/JPY,sell_JPY_buy_USD,60.2,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-03-30,USD/JPY,sell_JPY_buy_USD,64.8,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-03-31,USD/JPY,sell_JPY_buy_USD,37.0,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
