date,minister,source,max_level,n_fx_blocks,no_comment,matched_phrases,url
2022-11-25,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20221125.html
2022-11-29,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20221129.html
2022-12-02,鈴木,warp,0,1,1,,https://www.mof.go.jp/public_relations/conference/my20221202.html
2022-12-06,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20221206.html
2022-12-09,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20221209.html
2022-12-13,鈴木,warp,0,2,1,,https://www.mof.go.jp/public_relations/conference/my20221213.html
2022-12-16,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20221216.html
2022-12-20,鈴木,warp,0,1,0,,https://www.mof.go.jp/public_relations/conference/my20221220.html
2022-12-22,鈴木,warp,0,2,0,,https://www.mof.go.jp/public_relations/conference/my20221222.html
2022-12-23,鈴木,warp,0,1,0,,https://www.mof.go.jp/public_relations/conference/my20221223.html
2022-12-27,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20221227.html
2023-01-06,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230106.html
2023-01-17,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230117.html
2023-01-20,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230120.html
2023-01-23,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230123.html
2023-01-27,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230127.html
2023-01-31,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230131.html
2023-02-03,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230203.html
2023-02-07,鈴木,warp,5,3,0,L1:注視;L2:過度な変動;L3:投機/適切な対応;L5:介入を実施,https://www.mof.go.jp/public_relations/conference/my20230207.html
2023-02-10,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230210.html
2023-02-14,鈴木,warp,0,1,0,,https://www.mof.go.jp/public_relations/conference/my20230214.html
2023-02-17,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230217.html
2023-02-21,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230221.html
2023-02-23,,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230223.html
2023-02-28,鈴木,warp,1,1,0,L1:注視,https://www.mof.go.jp/public_relations/conference/my20230228.html
2023-03-03,鈴木,warp,1,1,0,L1:注視,https://www.mof.go.jp/public_relations/conference/my20230303.html
2023-03-07,鈴木,warp,0,1,0,,https://www.mof.go.jp/public_relations/conference/my20230307.html
2023-03-10,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230310.html
2023-03-14,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230314.html
2023-03-17,鈴木,warp,0,1,0,,https://www.mof.go.jp/public_relations/conference/my20230317.html
2023-03-22,鈴木,warp,0,1,0,,https://www.mof.go.jp/public_relations/conference/my20230322.html
2023-03-24,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230324.html
2023-03-28,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230328.html
2023-03-31,鈴木,warp,0,2,0,,https://www.mof.go.jp/public_relations/conference/my20230331.html
2023-04-04,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230404.html
2023-04-07,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230407.html
2023-04-11,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230411.html
2023-04-12,,online,3,1,0,L1:注視;L3:適切な対応,https://www.mof.go.jp/public_relations/conference/my20230412.html
2023-04-18,鈴木,online,0,1,0,,https://www.mof.go.jp/public_relations/conference/my20230418.html
2023-04-21,鈴木,online,0,1,0,,https://www.mof.go.jp/public_relations/conference/my20230421.html
2023-04-25,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230425.html
2023-04-28,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230428.html
2023-05-02,鈴木,online,0,1,0,,https://www.mof.go.jp/public_relations/conference/my20230502.html
2023-05-09,鈴木,online,0,1,0,,https://www.mof.go.jp/public_relations/conference/my20230509.html
2023-05-11,鈴木,online,0,1,0,,https://www.mof.go.jp/public_relations/conference/my20230511.html
2023-05-13,,online,1,1,0,L1:注視,https://www.mof.go.jp/public_relations/conference/my20230513.html
2023-05-16,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230516.html
2023-05-23,鈴木,online,0,1,0,,https://www.mof.go.jp/public_relations/conference/my20230523.html
2023-05-26,鈴木,online,0,1,0,,https://www.mof.go.jp/public_relations/conference/my20230526.html
2023-05-30,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230530.html
2023-06-02,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230602.html
2023-06-06,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230606.html
2023-06-09,鈴木,online,0,1,0,,https://www.mof.go.jp/public_relations/conference/my20230609.html
2023-06-13,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230613.html
2023-06-16,鈴木,online,2,1,1,L1:注視;L2:過度の変動,https://www.mof.go.jp/public_relations/conference/my20230616.html
2023-06-20,鈴木,online,3,1,1,L1:注視;L3:適切に対応,https://www.mof.go.jp/public_relations/conference/my20230620.html
2023-06-27,鈴木,online,3,1,0,L1:注視;L2:一方的な動き/緊張感/行き過ぎた動き;L3:適切に対応,https://www.mof.go.jp/public_relations/conference/my20230627.html
2023-06-28,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230628.html
2023-06-29,鈴木,online,5,7,1,L2:一方的な動き/緊張感/行き過ぎた動き;L3:必要な対応;L5:介入をいたし,https://www.mof.go.jp/public_relations/conference/my20230629.html
2023-06-30,鈴木,online,3,3,1,L1:注視;L2:一方的な動き/緊張感/行き過ぎた動き;L3:適切に対応,https://www.mof.go.jp/public_relations/conference/my20230630.html
2023-07-04,鈴木,online,0,2,0,,https://www.mof.go.jp/public_relations/conference/my20230704.html
2023-07-07,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230707.html
2023-07-11,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230711.html
2023-07-14,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230714.html
2023-07-18,鈴木,online,0,1,0,,https://www.mof.go.jp/public_relations/conference/my20230718.html
2023-07-21,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230721.html
2023-07-25,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230725.html
2023-07-28,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230728.html
2023-08-01,鈴木,online,0,2,0,,https://www.mof.go.jp/public_relations/conference/my20230801.html
2023-08-08,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230808.html
2023-08-15,鈴木,online,3,3,0,L1:注視;L2:望ましくない/緊張感/行き過ぎた動き/過度の変動;L3:投機/適切な対応,https://www.mof.go.jp/public_relations/conference/my20230815.html
2023-08-19,神田(財務官),online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230819.html
2023-08-25,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230825.html
2023-08-29,鈴木,online,0,1,0,,https://www.mof.go.jp/public_relations/conference/my20230829.html
2023-09-01,鈴木,online,3,2,0,L1:注視;L2:望ましくない;L3:必要な対応,https://www.mof.go.jp/public_relations/conference/my20230901.html
2023-09-05,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230905.html
2023-09-08,鈴木,online,3,1,0,L1:注視;L2:望ましくない/緊張感/過度な変動;L3:あらゆる選択肢/適切な対応/選択肢を排除せず,https://www.mof.go.jp/public_relations/conference/my20230908.html
2023-09-12,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230912.html
2023-09-13,鈴木,online,5,1,0,L5:介入を行い/介入を行った,https://www.mof.go.jp/public_relations/conference/my20230913.html
2023-09-15,鈴木,online,0,1,1,,https://www.mof.go.jp/public_relations/conference/my20230915.html
2023-09-19,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20230919.html
2023-09-22,鈴木,online,3,1,1,L1:注視;L2:緊張感/過度な変動;L3:あらゆる選択肢/適切な対応/選択肢を排除せず,https://www.mof.go.jp/public_relations/conference/my20230922.html
2023-09-26,鈴木,online,3,2,0,L2:緊張感/過度な変動/過度の変動;L3:あらゆる選択肢/選択肢を排除することなく,https://www.mof.go.jp/public_relations/conference/my20230926.html
2023-09-29,鈴木,online,3,1,0,L2:急激な変動/緊張感;L3:適切な対応,https://www.mof.go.jp/public_relations/conference/my20230929.html
2023-10-03,鈴木,online,3,5,0,L1:注視;L2:緊張感;L3:万全の対応,https://www.mof.go.jp/public_relations/conference/my20231003.html
2023-10-06,鈴木,online,3,4,1,L2:一方的な動き/過度な変動;L3:投機的な動き,https://www.mof.go.jp/public_relations/conference/my20231006.html
2023-10-10,鈴木,online,1,3,0,L1:注視,https://www.mof.go.jp/public_relations/conference/my20231010.html
2023-10-12,,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20231012.html
2023-10-13,鈴木,online,3,1,0,L2:憂慮/望ましくない/過度な変動;L3:適切な対応,https://www.mof.go.jp/public_relations/conference/my20231013.html
2023-10-17,鈴木,online,0,3,0,,https://www.mof.go.jp/public_relations/conference/my20231017.html
2023-10-20,鈴木,online,2,3,0,L1:注視;L2:緊張感,https://www.mof.go.jp/public_relations/conference/my20231020.html
2023-10-24,鈴木,online,0,1,0,,https://www.mof.go.jp/public_relations/conference/my20231024.html
2023-10-27,鈴木,online,3,1,0,L2:望ましくない/緊張感/過度の変動;L3:万全の対応,https://www.mof.go.jp/public_relations/conference/my20231027.html
2023-10-31,鈴木,online,3,2,0,L3:必要な対応,https://www.mof.go.jp/public_relations/conference/my20231031.html
2023-11-02,鈴木,online,0,1,0,,https://www.mof.go.jp/public_relations/conference/my20231102.html
2023-11-07,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20231107.html
2023-11-10,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20231110.html
2023-11-14,鈴木,online,3,1,0,L2:望ましくない/過度な変動;L3:万全の対応,https://www.mof.go.jp/public_relations/conference/my20231114.html
2023-11-17,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20231117.html
2023-11-20,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20231120.html
2023-11-24,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20231124.html
2023-11-28,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20231128.html
2023-12-01,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20231201.html
2023-12-05,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20231205.html
