entry_type,dow_regime,v2_regime,N,wins,WR,EV_pip,PF,Wilson_lo,Kelly
dual_sr_bounce,CHOP,moderate_trend,18,11,0.611111,0.074323,1.122134,0.386187,0.066514
dual_sr_bounce,CHOP,no_go,92,56,0.608696,0.067014,1.101072,0.506532,0.055875
dual_sr_bounce,RANGING,moderate_trend,4,2,0.5,-0.550575,0.499022,0.150036,-0.501961
dual_sr_bounce,RANGING,no_go,34,18,0.529412,-0.189085,0.766095,0.367364,-0.161641
dual_sr_bounce,TRENDING,moderate_trend,2,0,0.0,-1.609619,0.0,0.0,-1.0
dual_sr_bounce,TRENDING,no_go,25,12,0.48,-0.517803,0.502651,0.30031,-0.474936
ema200_trend_reversal,CHOP,moderate_trend,1,0,0.0,-1.522708,0.0,0.0,-1.0
ema200_trend_reversal,CHOP,no_go,37,23,0.621622,-0.025794,0.961266,0.461001,-0.025048
ema200_trend_reversal,RANGING,moderate_trend,4,3,0.75,0.105775,1.175502,0.300636,0.111975
ema200_trend_reversal,RANGING,no_go,31,15,0.483871,-0.399945,0.576799,0.3197,-0.35502
ema200_trend_reversal,TRENDING,no_go,2,2,1.0,0.86245,inf,0.342372,1.0
ema_cross,CHOP,moderate_trend,4,2,0.5,-0.484779,0.529231,0.150036,-0.444767
ema_cross,CHOP,no_go,25,10,0.4,-0.648313,0.442788,0.234031,-0.503368
ema_cross,TRENDING,moderate_trend,2,2,1.0,1.2846,inf,0.342372,1.0
ema_cross,TRENDING,no_go,15,10,0.666667,0.209091,1.31115,0.417131,0.158207
gbp_deep_pullback,CHOP,moderate_trend,20,13,0.65,0.518322,1.368373,0.432851,0.174983
gbp_deep_pullback,CHOP,no_go,32,20,0.625,0.117295,1.064693,0.452541,0.037977
gbp_deep_pullback,RANGING,moderate_trend,3,2,0.666667,0.185333,1.103047,0.207655,0.06228
gbp_deep_pullback,RANGING,no_go,14,8,0.571429,0.676021,1.610971,0.325903,0.216718
gbp_deep_pullback,TRENDING,moderate_trend,6,2,0.333333,-1.10454,0.471909,0.096769,-0.373017
gbp_deep_pullback,TRENDING,no_go,22,15,0.681818,1.09793,2.139863,0.473182,0.363191
htf_false_breakout,CHOP,moderate_trend,1,1,1.0,1.0912,inf,0.206543,1.0
htf_false_breakout,CHOP,no_go,37,24,0.648649,0.300928,1.539268,0.487587,0.227248
htf_false_breakout,RANGING,no_go,1,1,1.0,0.7,inf,0.206543,1.0
htf_false_breakout,TRENDING,no_go,26,14,0.538462,-0.058454,0.886768,0.354576,-0.068757
inducement_ob,CHOP,moderate_trend,1,1,1.0,1.7219,inf,0.206543,1.0
inducement_ob,CHOP,no_go,8,6,0.75,0.413989,1.534596,0.40927,0.261272
inducement_ob,RANGING,moderate_trend,1,0,0.0,-2.9427,0.0,0.0,-1.0
inducement_ob,RANGING,no_go,4,2,0.5,-0.523584,0.652832,0.150036,-0.265894
inducement_ob,TRENDING,no_go,1,1,1.0,1.4731,inf,0.206543,1.0
intraday_seasonality,CHOP,moderate_trend,16,11,0.6875,0.305788,1.577533,0.444039,0.251693
intraday_seasonality,CHOP,no_go,91,52,0.571429,-0.106634,0.868677,0.468896,-0.086386
