baseline_N,baseline_PF,baseline_PnL,entry_type,gate,gate_N,gate_PF,gate_PnL,reason,verdict
159,0.800413,-19.756151,london_fix_reversal,TRENDING,25,0.40393,-12.16059,baseline_negative_no_edge,CATASTROPHIC
159,0.800413,-19.756151,london_fix_reversal,RANGING,50,1.171855,4.221822,baseline_negative_no_edge,CATASTROPHIC
159,0.800413,-19.756151,london_fix_reversal,CHOP,84,0.781231,-11.817383,baseline_negative_no_edge,CATASTROPHIC
15,0.474854,-10.401958,london_ny_swing,TRENDING,2,0.52893,-1.2025,baseline_negative_no_edge,CATASTROPHIC
15,0.474854,-10.401958,london_ny_swing,RANGING,4,inf,4.818,baseline_negative_no_edge,CATASTROPHIC
15,0.474854,-10.401958,london_ny_swing,CHOP,9,0.187632,-14.017458,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,london_session_breakout,TRENDING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,london_session_breakout,RANGING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,london_session_breakout,CHOP,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,ma_regime_switch,TRENDING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,ma_regime_switch,RANGING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,ma_regime_switch,CHOP,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
8,0.831911,-0.782,mqe_gbpusd_fix,TRENDING,1,0.0,-0.3263,baseline_negative_no_edge,CATASTROPHIC
8,0.831911,-0.782,mqe_gbpusd_fix,RANGING,3,1.792535,1.2591,baseline_negative_no_edge,CATASTROPHIC
8,0.831911,-0.782,mqe_gbpusd_fix,CHOP,4,0.373543,-1.7148,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,mtf_regime_range_cascade_scalp,TRENDING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,mtf_regime_range_cascade_scalp,RANGING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,mtf_regime_range_cascade_scalp,CHOP,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,mtf_regime_trend_cascade_scalp,TRENDING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,mtf_regime_trend_cascade_scalp,RANGING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,mtf_regime_trend_cascade_scalp,CHOP,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,mtf_reversal_confluence,TRENDING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,mtf_reversal_confluence,RANGING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,mtf_reversal_confluence,CHOP,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,ny_close_reversal,TRENDING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,ny_close_reversal,RANGING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,ny_close_reversal,CHOP,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
