EV_pip,Kelly,N,PF,PnL,WR,Wilson_lo,condition,entry_type,wins
0.0,0.0,0,0.0,0,0.0,0.0,gated_CHOP,pd_eurjpy_h20_bbpb3_sell,0
0.713337,0.272555,80,1.677247,57.066925,0.675,0.566403,baseline,post_news_vol,54
1.100805,0.462488,26,2.507741,28.620937,0.769231,0.579481,gated_TRENDING,post_news_vol,20
-1.082116,-0.416519,15,0.489885,-16.231735,0.4,0.198242,gated_RANGING,post_news_vol,6
1.145583,0.410506,39,2.335231,44.677723,0.717949,0.562244,gated_CHOP,post_news_vol,28
0.0,0.0,0,0.0,0,0.0,0.0,baseline,pullback_to_liquidity_v1,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_TRENDING,pullback_to_liquidity_v1,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_RANGING,pullback_to_liquidity_v1,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_CHOP,pullback_to_liquidity_v1,0
0.0,0.0,0,0.0,0,0.0,0.0,baseline,rsk_gbpjpy_reversion,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_TRENDING,rsk_gbpjpy_reversion,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_RANGING,rsk_gbpjpy_reversion,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_CHOP,rsk_gbpjpy_reversion,0
0.074276,0.056476,1229,1.10124,91.285588,0.614321,0.586791,baseline,session_time_bias,755
0.256521,0.193186,209,1.409391,53.612863,0.665072,0.598615,gated_TRENDING,session_time_bias,139
0.04172,0.031672,263,1.054921,10.972329,0.608365,0.548217,gated_RANGING,session_time_bias,160
0.035271,0.026913,757,1.046767,26.700396,0.602378,0.567081,gated_CHOP,session_time_bias,456
-0.18607,-0.153574,19,0.774119,-3.535331,0.526316,0.317075,baseline,squeeze_release_momentum,10
1.2094,0.0,3,inf,3.6282,1.0,0.438494,gated_TRENDING,squeeze_release_momentum,3
-0.973819,-0.758367,4,0.247926,-3.895276,0.25,0.045586,gated_RANGING,squeeze_release_momentum,1
-0.272355,-0.226846,12,0.687904,-3.268255,0.5,0.253778,gated_CHOP,squeeze_release_momentum,6
4.026175,0.636118,77,4.762305,310.015488,0.805195,0.703147,baseline,sr_anti_hunt_bounce,62
3.170937,0.483658,12,2.815928,38.051242,0.75,0.46769,gated_TRENDING,sr_anti_hunt_bounce,9
5.007637,0.77694,16,22.848927,80.1222,0.8125,0.569906,gated_RANGING,sr_anti_hunt_bounce,13
3.915144,0.627374,49,4.320264,191.842046,0.816327,0.686421,gated_CHOP,sr_anti_hunt_bounce,40
-0.148657,-0.151284,110,0.793638,-16.352251,0.581818,0.488404,baseline,sr_break_retest,64
-0.00971,-0.010133,30,0.984252,-0.291295,0.633333,0.455132,gated_TRENDING,sr_break_retest,19
-0.175577,-0.166771,15,0.761791,-2.633657,0.533333,0.301166,gated_RANGING,sr_break_retest,8
-0.206574,-0.210788,65,0.729765,-13.427299,0.569231,0.448328,gated_CHOP,sr_break_retest,37
-0.061794,-0.055445,675,0.910343,-41.711209,0.562963,0.525291,baseline,sr_fib_confluence,380
-0.017772,-0.015175,29,0.973231,-0.515398,0.551724,0.375477,gated_TRENDING,sr_fib_confluence,16
-0.065343,-0.060964,179,0.90249,-11.696444,0.564246,0.491009,gated_RANGING,sr_fib_confluence,101
-0.063168,-0.056026,467,0.909518,-29.499367,0.563169,0.517849,gated_CHOP,sr_fib_confluence,263
0.0,0.0,0,0.0,0,0.0,0.0,baseline,sr_liquidity_grab,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_TRENDING,sr_liquidity_grab,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_RANGING,sr_liquidity_grab,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_CHOP,sr_liquidity_grab,0
